Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.3-10.0.0.4-50006-80-6,10.0.0.3,50006,10.0.0.4,80,6,16/10/2024 06:50:26 AM,13165,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,45879.225218382075,531.7128750474744,2194.166666666667,3319.68103387459,8712.0,11.0,2066.0,1033.0,820.2438661763952,1613.0,453.0,13043.0,4347.666666666667,3785.4807268474283,8712.0,1955.0,0,0,0,0,72,92,227.87694644891758,303.8359285985568,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.729061426219447E15,4796.721449768234,1.729061426226608E15,1.729061426216405E15,No Label
10.0.0.3-10.0.0.4-50006-80-6,10.0.0.3,50006,10.0.0.4,80,6,16/10/2024 06:50:26 AM,180,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11111.111111111111,180.0,0.0,180.0,180.0,180.0,180.0,0.0,180.0,180.0,0,0,0,0,0,0,0,0,0,40,0,11111.111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50007-80-6,10.0.0.3,50007,10.0.0.4,80,6,16/10/2024 06:50:26 AM,11092,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,54453.66029570862,631.0854670032456,1848.6666666666667,3320.0931111441237,8516.0,4.0,1036.0,518.0,497.80317395532944,870.0,166.0,11065.0,3688.333333333333,4189.051961164165,8516.0,1013.0,0,0,0,0,72,92,270.4652001442481,360.62026685899747,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614262454065E15,4468.668802098363,1.729061426252093E15,1.729061426242734E15,No Label
10.0.0.3-10.0.0.4-50007-80-6,10.0.0.3,50007,10.0.0.4,80,6,16/10/2024 06:50:26 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50008-80-6,10.0.0.3,50008,10.0.0.4,80,6,16/10/2024 06:50:26 AM,12119,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,49839.09563495338,577.6054129878703,2019.8333333333333,3229.6097235837437,8298.0,1.0,2506.0,1253.0,1770.595380091115,2505.0,1.0,12091.0,4030.333333333333,3747.137618680869,8298.0,1279.0,0,0,0,0,72,92,247.54517699480155,330.0602359930688,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614262703298E15,4708.39877111606,1.729061426277171E15,1.729061426266396E15,No Label
10.0.0.3-10.0.0.4-50008-80-6,10.0.0.3,50008,10.0.0.4,80,6,16/10/2024 06:50:26 AM,1009,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1982.1605550049555,1009.0,0.0,1009.0,1009.0,1009.0,1009.0,0.0,1009.0,1009.0,0,0,0,0,0,0,0,0,0,40,0,1982.1605550049555,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50005-443-6,10.0.0.3,50005,10.0.0.4,443,6,16/10/2024 06:50:26 AM,86840,5,3,177.0,1298.0,177.0,0.0,35.4,79.15680640349255,1298.0,0.0,432.6666666666667,749.4006494081343,16985.260248733302,92.12344541685859,12405.714285714286,29155.44617914056,78413.0,17.0,86840.0,21710.0,37902.7939339569,78413.0,379.0,6622.0,3311.0,2230.214787862371,4888.0,1734.0,0,0,0,0,112,72,57.57715338553662,34.54629203132197,0.0,1298.0,163.88888888888889,429.3013057412138,184299.61111111112,1,2,0,2,7,0,0,0,0.0,184.375,35.4,432.6666666666667,0,0,0,0,0,0,0,22,0,162,65535,501,1,20,0,0,0,0,1.7290614261983725E15,2500.958018367245,1.729061426202349E15,1.729061426196123E15,No Label
10.0.0.3-10.0.0.4-50010-80-6,10.0.0.3,50010,10.0.0.4,80,6,16/10/2024 06:50:36 AM,11124,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,54297.015462064,629.2700467457748,1854.0,3352.447285193311,8604.0,5.0,1021.0,510.5,272.2361107568208,703.0,318.0,11096.0,3698.666666666667,4255.376050754308,8604.0,998.0,0,0,0,0,72,92,269.6871628910464,359.5828838547285,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614363082255E15,4527.325630308385,1.729061436315012E15,1.729061436305733E15,No Label
10.0.0.3-10.0.0.4-50010-80-6,10.0.0.3,50010,10.0.0.4,80,6,16/10/2024 06:50:36 AM,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,NaN,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,8210,0,0,20,0,0,0,0,0,0,0,0,No Label
10.0.0.3-10.0.0.4-50011-80-6,10.0.0.3,50011,10.0.0.4,80,6,16/10/2024 06:50:36 AM,10870,3,4,196.0,408.0,196.0,0.0,65.33333333333333,113.16065276116665,258.0,0.0,102.0,125.76167937809991,55565.77736890525,643.9742410303588,1811.6666666666665,3206.506801281835,8198.0,5.0,785.0,392.5,272.2361107568208,585.0,200.0,10843.0,3614.3333333333335,4008.8078444012917,8198.0,763.0,0,0,0,0,72,92,275.9889604415824,367.98528058877645,0.0,258.0,75.5,108.15200942588696,11696.857142857143,1,2,0,3,6,0,0,0,1.0,86.28571428571429,65.33333333333333,102.0,0,0,0,0,0,0,0,28,0,58,64240,501,1,20,0,0,0,0,1.7290614363339355E15,4265.532658748169,1.729061436340329E15,1.729061436331573E15,No Label
