Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Class
"('10.0.0.3', 49901, '10.0.0.4', 80, 'TCP')",10.0.0.3,49901,10.0.0.4,80,TCP,1727619314.194707129,0.011670609,11,0,1135,0,312,54,103.18181818181819,79.8371275920468,0,0,0,0,97252.85115798155863160182986,942.5386455839622422445992321,0.011670609,0.0011670609,0.0021915916833059688,0.007606973,6.279e-06,0,0,0,0,0,3,0,0,0,244,0,942.5386455839622422445992321,0E+9,54,312,103.18181818181819,79.8371275920468,6373.966942148761,1,2,0,3,10,0,0,0,65535,0,0,0,11,1135,0,0,N/A
"('10.0.0.3', 49902, '10.0.0.4', 80, 'TCP')",10.0.0.3,49902,10.0.0.4,80,TCP,1727619314.207834561,0.015915638,10,0,12642,0,7354,54,1264.2,2405.837143282978,0,0,0,0,794313.1151889732601357231171,628.3128580833517324281942075,0.015915638,0.001768404222222222,0.0035616786528416865,0.011730487,5.14e-06,0,0,0,0,0,5,0,0,0,224,0,628.3128580833517324281942075,0E+9,54,7354,1264.2,2405.837143282978,5788052.36,1,2,0,5,9,0,0,0,64240,0,0,0,10,12642,0,0,N/A
"('10.0.0.3', 49903, '10.0.0.4', 443, 'TCP')",10.0.0.3,49903,10.0.0.4,443,TCP,1727619329.159495213,0.015362157,10,0,2085,0,1352,54,208.5,385.5041504316134,0,0,0,0,135723.1279435563638621841972,650.9502539259298026963270848,0.015362157,0.0017069063333333334,0.0015158571310893531,0.004007021,4.5e-08,0,0,0,0,0,2,0,0,0,224,0,650.9502539259298026963270848,0E+9,54,1352,208.5,385.5041504316134,148613.45,2,2,0,2,9,0,0,0,65535,0,0,0,10,2085,0,0,N/A
"('10.0.0.3', 64841, '10.0.0.4', 53, 'UDP')",10.0.0.4,53,10.0.0.3,64841,UDP,1727619338.244592083,0.005174517,2,0,178,0,97,81,89.0,8.0,0,0,0,0,34399.34587131513917144344100,386.5095041720802154094768652,0.005174517,0.005174517,0.0,0.005174517,0.005174517,0,0,0,0,0,0,0,0,0,0,0,386.5095041720802154094768652,0E+9,81,97,89.0,8.0,64.0,0,0,0,0,0,0,0,0,0,0,0,0,2,178,0,0,N/A
"('10.0.0.3', 57825, '10.0.0.4', 53, 'UDP')",10.0.0.4,53,10.0.0.3,57825,UDP,1727619338.244965615,0.007764467,2,0,162,0,81,81,81.0,0.0,0,0,0,0,20864.27825631817354623311555,257.5836821767675746448532784,0.007764467,0.007764467,0.0,0.007764467,0.007764467,0,0,0,0,0,0,0,0,0,0,0,257.5836821767675746448532784,0E+9,81,81,81.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,162,0,0,N/A
"('10.0.0.3', 54965, '10.0.0.4', 53, 'UDP')",10.0.0.4,53,10.0.0.3,54965,UDP,1727619338.254174807,0.002452093,2,0,162,0,81,81,81.0,0.0,0,0,0,0,66066.00973127854449239894245,815.6297497688709196592462031,0.002452093,0.002452093,0.0,0.002452093,0.002452093,0,0,0,0,0,0,0,0,0,0,0,815.6297497688709196592462031,0E+9,81,81,81.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,162,0,0,N/A
"('10.0.0.3', 49904, '10.0.0.4', 443, 'TCP')",10.0.0.3,49904,10.0.0.4,443,TCP,1727619338.258856696,0.009645283,11,0,3916,0,1849,54,356.0,627.9187845573662,0,0,0,0,406001.5657394396825888882680,1140.453836346740681429461427,0.009645283,0.0009645283000000001,0.0011449936953959222,0.003408335,3.2e-08,0,0,0,0,0,3,0,0,0,244,0,1140.453836346740681429461427,0E+9,54,1849,356.0,627.9187845573662,394282.0,2,2,0,3,10,0,0,0,64240,0,0,0,11,3916,0,0,N/A
"('10.0.0.3', 62491, '239.255.255.250', 1900, 'UDP')",10.0.0.3,62491,239.255.255.250,1900,UDP,1727619345.415099186,315.518693436,12,0,2148,0,179,179,179.0,0.0,0,0,0,0,6.807837521790770223871408413,0.03803261185357972192106932074,315.518693436,28.68351758509091,81.16859037606666,285.361136728,3.002896929,0,0,0,0,0,0,0,0,0,0,0,0.03803261185357972192106932074,0E+9,179,179,179.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12,2148,0,0,N/A
"('10.0.0.3', 5353, '224.0.0.251', 5353, 'UDP')",10.0.0.3,5353,224.0.0.251,5353,UDP,1727619345.421242099,300.432856616,4,0,400,0,119,81,100.0,19.0,0,0,0,0,1.331412297927394547275231970,0.01331412297927394547275231970,300.432856616,100.14428553866668,141.6241377155356,300.431061855,0.000563046,0,0,0,0,0,0,0,0,0,0,0,0.01331412297927394547275231970,0E+9,81,119,100.0,19.0,361.0,0,0,0,0,0,0,0,0,0,0,0,0,4,400,0,0,N/A
"('10.0.0.3', 64695, '224.0.0.252', 5355, 'UDP')",10.0.0.3,64695,224.0.0.252,5355,UDP,1727619345.422327809,0E-9,1,0,75,0,75,75,75.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,75.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0,N/A
