Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.63.161.135-99.83.81.66-51856-443-6,10.63.161.135,51856,99.83.81.66,443,6,16/10/2024 02:35:42 PM,4958995,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,4.839690300151543,0.8066150500252571,1652998.3333333335,2862335.8089253493,4958139.0,24.0,4958995.0,2479497.5,3506505.0512446864,4958971.0,24.0,0,0,0,0,0,0,0,0,0,60,20,0.6049612875189428,0.20165376250631428,0.0,24.0,4.8,10.73312629199899,115.2,1,0,0,1,4,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,0,6,0,0,447,908,1,20,0,0,0,0,1.729089347197686E15,0.0,1.729089347197686E15,1.729089347197686E15,No Label
10.63.161.135-99.83.81.66-51856-443-6,10.63.161.135,51856,99.83.81.66,443,6,16/10/2024 02:35:47 PM,1329,3,5,0.0,353.0,0.0,0.0,0.0,0.0,197.0,0.0,70.6,89.28493713947499,265613.2430398796,6019.563581640331,189.85714285714286,323.87365261339625,859.0,0.0,1247.0,623.5,873.2768747653862,1241.0,6.0,470.0,117.5,174.80942003603047,370.0,0.0,0,0,0,0,60,112,2257.336343115124,3762.2272385252068,0.0,197.0,39.222222222222214,73.28331627624698,5370.444444444444,2,0,2,3,6,0,0,0,1.0,44.125,0.0,70.6,0,0,0,0,0,0,0,0,0,44,447,908,0,20,0,0,0,0,1.7290893472045435E15,398.2181134572066,1.729089347204861E15,1.729089347203908E15,No Label
10.63.161.135-34.117.121.53-59684-443-6,10.63.161.135,59684,34.117.121.53,443,6,16/10/2024 02:35:49 PM,4454,4,2,692.0,0.0,692.0,0.0,173.0,346.0,0.0,0.0,0.0,0.0,155365.9631791648,1347.103726986978,890.8,816.4656759472501,2230.0,15.0,4454.0,1484.6666666666665,1350.0208640363057,3037.0,585.0,1407.0,1407.0,0.0,1407.0,1407.0,0,0,0,0,136,72,898.0691513246521,449.03457566232606,0.0,692.0,98.85714285714286,261.55141532238525,68409.14285714286,1,2,0,1,5,0,0,0,0.0,115.33333333333333,173.0,0.0,0,0,0,0,0,0,0,115,0,0,62727,1048,1,32,0,0,0,0,1.7290893493187328E15,877.2413198962606,1.729089349319353E15,1.729089349317729E15,No Label
10.63.161.135-34.117.121.53-59696-443-6,10.63.161.135,59696,34.117.121.53,443,6,16/10/2024 02:35:49 PM,4443,4,2,692.0,0.0,692.0,0.0,173.0,346.0,0.0,0.0,0.0,0.0,155750.61895115912,1350.438892640108,888.6,570.1945282094524,1399.0,20.0,4443.0,1481.0,793.4992123499557,2305.0,722.0,2141.0,2141.0,0.0,2141.0,2141.0,0,0,0,0,136,72,900.2925950934053,450.14629754670267,0.0,692.0,98.85714285714286,261.55141532238525,68409.14285714286,1,2,0,1,5,0,0,0,0.0,115.33333333333333,173.0,0.0,0,0,0,0,0,0,0,115,0,0,62727,1048,1,32,0,0,0,0,1.729089349319422E15,1454.8446652478058,1.729089349320586E15,1.729089349317791E15,No Label
34.117.121.53-10.63.161.135-443-59684-6,34.117.121.53,443,10.63.161.135,59684,6,16/10/2024 02:35:49 PM,782,3,2,3103.0,0.0,2048.0,0.0,1034.3333333333335,1024.1564008164637,0.0,0.0,0.0,0.0,3968030.6905370844,6393.86189258312,195.5,375.6997915002527,759.0,1.0,782.0,391.0,551.5432893255071,781.0,1.0,9.0,9.0,0.0,9.0,9.0,1,0,0,0,96,40,3836.317135549872,2557.544757033248,0.0,2048.0,858.5,1007.9185979036204,1015899.9,1,0,2,2,3,0,0,0,0.0,1030.2,1034.3333333333333,0.0,0,0,0,0,0,0,0,620,0,0,1048,0,1,32,0,0,0,0,1.7290893493222055E15,2.1213203435596424,1.729089349322207E15,1.729089349322204E15,No Label
34.117.121.53-10.63.161.135-443-59696-6,34.117.121.53,443,10.63.161.135,59696,6,16/10/2024 02:35:49 PM,203,3,2,3103.0,0.0,2048.0,0.0,1034.3333333333335,1024.1564008164637,0.0,0.0,0.0,0.0,1.5285714285714285E7,24630.54187192118,50.75,85.82686059736777,179.0,0.0,203.0,101.5,143.54267658086914,203.0,0.0,6.0,6.0,0.0,6.0,6.0,1,0,0,0,96,40,14778.32512315271,9852.216748768473,0.0,2048.0,858.5,1007.9185979036204,1015899.9,1,0,2,2,3,0,0,0,0.0,1030.2,1034.3333333333333,0.0,0,0,0,0,0,0,0,620,0,0,1048,0,1,32,0,0,0,0,1.729089349323404E15,8.48528137423857,1.72908934932341E15,1.729089349323398E15,No Label
10.63.161.135-35.201.103.21-56102-443-6,10.63.161.135,56102,35.201.103.21,443,6,16/10/2024 02:35:49 PM,37825,10,6,947.0,3798.0,672.0,0.0,94.7,211.22502482213397,2048.0,0.0,633.0,822.8312099088123,125446.13350958361,423.00066093853275,2521.666666666666,7805.991368051545,30610.0,1.0,37825.0,4202.777777777777,9967.40380913929,30610.0,6.0,36657.0,7331.4,13656.928179499226,31685.0,1.0,0,0,0,0,328,200,264.37541308658297,158.62524785194978,0.0,2048.0,279.1176470588235,556.5632132059372,309762.6102941176,1,2,0,8,15,0,0,0,0.0,296.5625,94.7,633.0,0,0,0,0,8,130400,0,59,0,237,62727,1048,4,32,0,0,0,0,1.729089349420826E15,17041.479469759706,1.729089349442226E15,1.729089349404737E15,No Label
10.63.161.135-34.36.165.17-56500-443-6,10.63.161.135,56500,34.36.165.17,443,6,16/10/2024 02:35:49 PM,36644,9,5,969.0,3724.0,694.0,0.0,107.66666666666667,228.29476559921386,2048.0,0.0,744.8,854.6866092317113,128070.07968562383,382.0543608776334,2818.7692307692305,8199.45490214488,30020.0,0.0,36644.0,4580.500000000001,10328.652560440094,30020.0,4.0,34737.0,8684.25,14916.07281592578,31010.0,0.0,0,0,0,0,296,168,245.60637484990718,136.44798602772622,0.0,2048.0,312.8666666666666,582.3956518021879,339184.69523809524,1,2,0,7,13,0,0,0,0.0,335.2142857142857,107.66666666666667,744.8,0,0,0,0,7,133002,0,69,0,266,62727,1048,4,32,0,0,0,0,1.7290893494183188E15,15191.196523659475,1.729089349442814E15,1.729089349406599E15,No Label
10.63.161.135-34.36.165.17-56462-443-6,10.63.161.135,56462,34.36.165.17,443,6,16/10/2024 02:35:49 PM,36949,9,5,969.0,3724.0,694.0,0.0,107.66666666666667,228.29476559921386,2048.0,0.0,744.8,854.6866092317113,127012.90968632439,378.9006468375328,2842.230769230769,7679.856304578515,28273.0,0.0,36949.0,4618.624999999999,9618.250181481631,28273.0,4.0,34884.0,8721.0,14142.645179267796,29853.0,0.0,0,0,0,0,296,168,243.57898725269965,135.32165958483313,0.0,2048.0,312.8666666666666,582.3956518021879,339184.69523809524,1,2,0,7,13,0,0,0,0.0,335.2142857142857,107.66666666666667,744.8,0,0,0,0,7,138126,0,69,0,266,62727,1048,4,32,0,0,0,0,1.7290893494191968E15,14626.854862491655,1.729089349443265E15,1.729089349406332E15,No Label
10.63.161.135-34.36.165.17-56488-443-6,10.63.161.135,56488,34.36.165.17,443,6,16/10/2024 02:35:49 PM,37208,9,5,969.0,3724.0,694.0,0.0,107.66666666666667,228.29476559921386,2048.0,0.0,744.8,854.6866092317113,126128.78950763277,376.2631692109224,2862.1538461538466,7455.5070903566975,27431.0,1.0,37208.0,4651.0,9318.472406998906,27431.0,5.0,35816.0,8954.0,13367.431341385924,28850.0,1.0,0,0,0,0,296,168,241.88346592130725,134.37970328961515,0.0,2048.0,312.8666666666666,582.3956518021879,339184.69523809524,1,2,0,7,13,0,0,0,0.0,335.2142857142857,107.66666666666667,744.8,0,0,0,0,7,140458,0,69,0,266,62727,1048,4,32,0,0,0,0,1.7290893494203372E15,14584.272320285774,1.729089349443461E15,1.72908934940657E15,No Label
